Länskod;Länsnamn;Kommunkod ;Kommunnamn;Beteckning på tätort;x-koordinat;y-koordinat;x;y;;;;;;
01;Stockholm;0114;Upplands Väsby;Löwenströmska lasarettet;664 861;6 603 987;664861;6603987;;;;;;
01;Stockholm;0114;Upplands Väsby;Båtbyggartorp och Harva;661 300;6 601 189;661300;6601189;;;;;;
01;Stockholm;0115;Vallentuna;Brottby;683 164;6 607 229;683164;6607229;;;;;;
01;Stockholm;0115;Vallentuna;Ekskogen, Älgeby och Långsjötorp;690 005;6 612 656;690005;6612656;;;;;;
01;Stockholm;0115;Vallentuna;Ekskogen;681 855;6 615 646;681855;6615646;;;;;;
01;Stockholm;0115;Vallentuna;Johannesudd;671 369;6 605 473;671369;6605473;;;;;;
01;Stockholm;0115;Vallentuna;Karby;681 916;6 606 950;681916;6606950;;;;;;
01;Stockholm;0115;Vallentuna;Kårsta;684 131;6 617 629;684131;6617629;;;;;;
01;Stockholm;0115;Vallentuna;Lindholmen;675 372;6 609 232;675372;6609232;;;;;;
01;Stockholm;0115;Vallentuna;Vallentuna;674 255;6 601 928;674255;6601928;;;;;;
01;Stockholm;0117;Österåker;Bammarboda;697 706;6 603 274;697706;6603274;;;;;;
01;Stockholm;0117;Österåker;Laggarsvik och Linanäs;699 547;6 599 004;699547;6599004;;;;;;
01;Stockholm;0117;Österåker;Täljö;683 976;6 596 931;683976;6596931;;;;;;
01;Stockholm;0117;Österåker;Rydbo;680 618;6 595 769;680618;6595769;;;;;;
01;Stockholm;0117;Österåker;Solberga;689 394;6 600 718;689394;6600718;;;;;;
01;Stockholm;0117;Österåker;Nyhagen och Översättra;691 263;6 600 239;691263;6600239;;;;;;
01;Stockholm;0117;Österåker;Stava;682 337;6 600 075;682337;6600075;;;;;;
01;Stockholm;0117;Österåker;Nolsjö och Mellansjö;705 495;6 603 135;705495;6603135;;;;;;
01;Stockholm;0117;Österåker;Svinninge;685 471;6 594 034;685471;6594034;;;;;;
01;Stockholm;0117;Österåker;Spånlöt;687 651;6 599 859;687651;6599859;;;;;;
01;Stockholm;0117;Österåker;Näs*;685 036;6 596 703;685036;6596703;;;;;;
01;Stockholm;0117;Österåker;Åkersberga;683 689;6 598 834;683689;6598834;;;;;;
01;Stockholm;0120;Värmdö;Björnömalmen och Klacknäset;700 917;6 570 138;700917;6570138;;;;;;
01;Stockholm;0120;Värmdö;Grönskan, Vedhamn och Baldersnäs;698 115;6 571 262;698115;6571262;;;;;;
01;Stockholm;0120;Värmdö;Brunn;695 149;6 576 720;695149;6576720;;;;;;
01;Stockholm;0120;Värmdö;Betsede;695 019;6 581 727;695019;6581727;;;;;;
01;Stockholm;0120;Värmdö;Djurö;710 326;6 580 563;710326;6580563;;;;;;
01;Stockholm;0120;Värmdö;Fågelvikshöjden;695 931;6 574 279;695931;6574279;;;;;;
01;Stockholm;0120;Värmdö;Norra Ingaröstrand och Skälsmara;700 380;6 575 611;700380;6575611;;;;;;
01;Stockholm;0120;Värmdö;Kopparmora;703 763;6 583 100;703763;6583100;;;;;;
01;Stockholm;0120;Värmdö;Långvik;700 308;6 571 988;700308;6571988;;;;;;
01;Stockholm;0120;Värmdö;Norra Lagnö;693 580;6 584 429;693580;6584429;;;;;;
01;Stockholm;0120;Värmdö;Lugnet och Skälsmara;701 459;6 573 011;701459;6573011;;;;;;
01;Stockholm;0120;Värmdö;Stavsnäs;707 798;6 577 122;707798;6577122;;;;;;
01;Stockholm;0120;Värmdö;Strömma;700 053;6 578 213;700053;6578213;;;;;;
01;Stockholm;0120;Värmdö;Koviksudde och Skeviksstrand;690 850;6 584 687;690850;6584687;;;;;;
01;Stockholm;0120;Värmdö;Ängsvik;699 742;6 585 175;699742;6585175;;;;;;
01;Stockholm;0120;Värmdö;Älvsala;707 439;6 580 176;707439;6580176;;;;;;
01;Stockholm;0120;Värmdö;Norra Vindö;707 697;6 586 102;707697;6586102;;;;;;
01;Stockholm;0120;Värmdö;Västra Älvsala;706 023;6 578 691;706023;6578691;;;;;;
01;Stockholm;0120;Värmdö;Södra Vindö*;711 168;6 582 919;711168;6582919;;;;;;
01;Stockholm;0120;Värmdö;Gustavsberg;698 305;6 582 974;698305;6582974;;;;;;
01;Stockholm;0125;Ekerö;Drottningholm;664 370;6 579 825;664370;6579825;;;;;;
01;Stockholm;0125;Ekerö;Ekerö sommarstad;656 110;6 574 080;656110;6574080;;;;;;
01;Stockholm;0125;Ekerö;Parksidan och Solsidan;662 280;6 574 876;662280;6574876;;;;;;
01;Stockholm;0125;Ekerö;Hilleshögby;653 633;6 586 508;653633;6586508;;;;;;
01;Stockholm;0125;Ekerö;Kungsberga;648 962;6 588 035;648962;6588035;;;;;;
01;Stockholm;0125;Ekerö;Lilla Stenby;643 236;6 585 785;643236;6585785;;;;;;
01;Stockholm;0125;Ekerö;Lurudden;654 088;6 573 832;654088;6573832;;;;;;
01;Stockholm;0125;Ekerö;Sundby;654 722;6 575 627;654722;6575627;;;;;;
01;Stockholm;0125;Ekerö;Stenhamra;653 100;6 580 389;653100;6580389;;;;;;
01;Stockholm;0125;Ekerö;Söderby;646 554;6 585 556;646554;6585556;;;;;;
01;Stockholm;0125;Ekerö;Tureholm;656 212;6 578 891;656212;6578891;;;;;;
01;Stockholm;0125;Ekerö;Älvnäs;657 566;6 575 381;657566;6575381;;;;;;
01;Stockholm;0125;Ekerö;Ölsta;651 364;6 588 091;651364;6588091;;;;;;
01;Stockholm;0125;Ekerö;Ekeby tomtområde;647 872;6 583 415;647872;6583415;;;;;;
01;Stockholm;0125;Ekerö;Slottshagen, Bona, Helgö bol och Kungens täppa;652 322;6 574 301;652322;6574301;;;;;;
01;Stockholm;0125;Ekerö;Sånga Säby;650 583;6 583 748;650583;6583748;;;;;;
01;Stockholm;0125;Ekerö;Jungfrusund;662 105;6 573 934;662105;6573934;;;;;;
01;Stockholm;0125;Ekerö;Ekerö;659 158;6 574 674;659158;6574674;;;;;;
01;Stockholm;0126;Huddinge;Gladö kvarn;670 437;6 565 061;670437;6565061;;;;;;
01;Stockholm;0126;Huddinge;Vidja;674 863;6 565 968;674863;6565968;;;;;;
01;Stockholm;0126;Huddinge;Östorp och Ådran;671 972;6 561 249;671972;6561249;;;;;;
01;Stockholm;0127;Botkyrka;Norra Riksten;666 427;6 564 209;666427;6564209;;;;;;
01;Stockholm;0127;Botkyrka;Sibble;657 478;6 555 695;657478;6555695;;;;;;
01;Stockholm;0127;Botkyrka;Kagghamra tomtområde;659 356;6 556 501;659356;6556501;;;;;;
01;Stockholm;0127;Botkyrka;Tumba;654 899;6 564 588;654899;6564588;;;;;;
01;Stockholm;0136;Haninge;Dalarö;695 357;6 561 582;695357;6561582;;;;;;
